player_of_match,awards
"AB de Villiers",25
"CH Gayle",22
"V Kohli",22
"RG Sharma",21
"MS Dhoni",18
"DA Warner",18
"SP Narine",18
"RA Jadeja",17
"KL Rahul",17
"AD Russell",16
