batter,total_runs
"V Kohli",9346
"RG Sharma",7331
"S Dhawan",6769
"DA Warner",6567
"KL Rahul",5828
"SK Raina",5536
"MS Dhoni",5439
"AM Rahane",5367
"AB de Villiers",5181
"SV Samson",5181
